Gold (OG|GC) G5TM6 (0.98 DTE) vs 4038.8 (-57.5) - Intraday Volume
Put: 2,605  Call: 2,142  Vol: 27.38  Vol Chg: 3.50  Future Chg: -57.5
Strike,Call,Put,Vol Settle
3870,0,3,0.3104864261999509
3875,0,23,0.3078302103594126
3880,0,3,0.30518988091696997
3885,0,0,0.3025666097768891
3890,0,1,0.29996156570699384
3895,0,7,0.29737591433974586
3900,0,17,0.29481081817149857
3905,0,2,0.29226743656227683
3910,0,189,0.289746925736857
3915,0,1,0.28725043878345247
3920,0,3,0.2847791256548078
3925,0,15,0.28233413316738165
3930,0,7,0.2799166050020503
3935,0,7,0.2775276817033543
3940,0,64,0.27516850068018783
3945,0,111,0.27284019620562816
3950,0,59,0.27054389941623924
3955,0,11,0.26828073831347155
3960,0,10,0.2660518377620704
3965,0,13,0.2638583194913977
3970,0,29,0.2617013020945649
3975,0,52,0.25958190102894463
3980,0,56,0.2575012286157943
3985,0,70,0.2554603940407816
3990,0,106,0.25346050335307524
3995,0,44,0.2515026594663681
4000,1,277,0.24958796215840806
4005,0,13,0.24771750807073545
4010,1,270,0.2458923907091375
4015,3,204,0.24411370044339264
4020,0,212,0.24238252450764008
4025,1,25,0.2406999469995199
4030,4,62,0.23906704888124608
4035,12,11,0.23748490797887456
4040,59,93,0.23595459898264437
4045,169,105,0.23447719344663653
4050,66,138,0.23305375978927145
4055,26,0,0.23168536329281864
4060,10,13,0.23037306610383723
4065,9,0,0.22911792723262892
4070,216,25,0.2279210025540479
4075,238,1,0.22678334480640672
4080,44,0,0.22570600359271253
4085,32,0,0.22469002537945926
4090,222,0,0.2237364534976649
4095,7,0,0.2228463281421469
4100,293,51,0.22202068637194827
4105,36,3,0.22126056211011047
4110,37,0,0.22056698614364478
4115,45,0,0.21994098612374557
4120,17,0,0.21938358656565526
4125,52,0,0.21889580884871407
4130,12,0,0.2184786712162392
4135,15,0,0.21813318877574517
4140,12,0,0.21786037349881582
4145,29,0,0.21766123422081307
4150,73,4,0.21753677664145954
4155,4,0,0.2174880033245259
4160,7,0,0.21751591369780954
4165,27,0,0.21762150405299252
4170,7,0,0.21780576754607495
4175,84,0,0.2180696941971476
4180,29,0,0.2184142708901078
4185,0,0,0.21884048137307843
4190,27,0,0.21934930625832294
4195,0,0,0.21994172302203197
4200,13,0,0.22061870600438738
4205,0,0,0.22138122641004543
4210,1,0,0.22223025230731253
